# stride	pf	operation	ns_per_op
N=4	4	churn_del	9.9
N=4	4	churn_ins	10.0
N=4	4	post_churn_hit	6.9
N=4	8	insert	7.9
N=4	8	get_hit	5.7
N=4	8	get_miss	7.1
N=4	8	delete	5.9
N=4	8	churn_del	8.9
N=4	8	churn_ins	9.5
N=4	8	post_churn_hit	6.7
N=4	12	insert	8.0
N=4	12	get_hit	5.7
N=4	12	get_miss	7.0
N=4	12	delete	5.7
N=4	12	churn_del	8.6
N=4	12	churn_ins	9.6
N=4	12	post_churn_hit	6.8
N=4	16	insert	8.5
N=4	16	get_hit	5.8
N=4	16	get_miss	6.9
N=4	16	delete	5.5
N=4	16	churn_del	8.5
N=4	16	churn_ins	9.6
N=4	16	post_churn_hit	6.7
N=4	20	insert	8.3
N=4	20	get_hit	5.7
N=4	20	get_miss	6.9
N=4	20	delete	5.4
N=4	20	churn_del	8.5
N=4	20	churn_ins	9.5
N=4	20	post_churn_hit	6.7
N=4	24	insert	8.0
N=4	24	get_hit	5.5
N=4	24	get_miss	6.9
N=4	24	delete	5.2
N=4	24	churn_del	8.3
N=4	24	churn_ins	9.3
N=4	24	post_churn_hit	6.5
N=4	28	insert	7.5
N=4	28	get_hit	5.2
N=4	28	get_miss	6.6
N=4	28	delete	5.0
N=4	28	churn_del	8.2
N=4	28	churn_ins	8.8
N=4	28	post_churn_hit	6.1
N=4	32	insert	7.4
N=4	32	get_hit	5.1
N=4	32	get_miss	6.3
N=4	32	delete	4.9
N=4	32	churn_del	8.2
N=4	32	churn_ins	8.7
N=4	32	post_churn_hit	5.8
N=4	40	insert	7.9
N=4	40	get_hit	5.1
N=4	40	get_miss	6.0
N=4	40	delete	5.0
N=4	40	churn_del	8.2
N=4	40	churn_ins	8.8
N=4	40	post_churn_hit	5.6
N=4	48	insert	8.0
N=4	48	get_hit	5.1
N=4	48	get_miss	5.9
N=4	48	delete	4.9
N=4	48	churn_del	8.2
N=4	48	churn_ins	9.2
N=4	48	post_churn_hit	5.7
N=4	64	insert	7.8
N=4	64	get_hit	5.0
N=4	64	get_miss	5.9
N=4	64	delete	4.7
N=4	64	churn_del	8.2
N=4	64	churn_ins	9.2
N=4	64	post_churn_hit	5.6
