# layout	overflow	blockN	PF	operation	ns_per_op
hybrid	bitstealing	2	16	delete	11.1
hybrid	bitstealing	2	20	insert	15.1
hybrid	bitstealing	2	20	get_hit	11.0
hybrid	bitstealing	2	20	get_miss	11.9
hybrid	bitstealing	2	20	delete	11.0
hybrid	bitstealing	2	24	insert	15.1
hybrid	bitstealing	2	24	get_hit	11.1
hybrid	bitstealing	2	24	get_miss	11.8
hybrid	bitstealing	2	24	delete	10.9
hybrid	bitstealing	2	28	insert	15.2
hybrid	bitstealing	2	28	get_hit	11.1
hybrid	bitstealing	2	28	get_miss	12.0
hybrid	bitstealing	2	28	delete	11.0
hybrid	bitstealing	2	32	insert	15.5
hybrid	bitstealing	2	32	get_hit	11.1
hybrid	bitstealing	2	32	get_miss	12.0
hybrid	bitstealing	2	32	delete	11.0
hybrid	bitstealing	2	36	insert	16.2
hybrid	bitstealing	2	36	get_hit	11.2
hybrid	bitstealing	2	36	get_miss	12.0
hybrid	bitstealing	2	36	delete	11.4
hybrid	bitstealing	2	40	insert	16.5
hybrid	bitstealing	2	40	get_hit	11.3
hybrid	bitstealing	2	40	get_miss	12.1
hybrid	bitstealing	2	40	delete	11.3
hybrid	bitstealing	2	20	churn_del	12.4
hybrid	bitstealing	2	20	churn_ins	17.8
hybrid	bitstealing	2	20	post_churn_hit	12.8
hybrid	bitstealing	4	16	insert	15.6
hybrid	bitstealing	4	16	get_hit	11.1
hybrid	bitstealing	4	16	get_miss	12.0
hybrid	bitstealing	4	16	delete	11.3
hybrid	bitstealing	4	20	insert	15.4
hybrid	bitstealing	4	20	get_hit	10.9
hybrid	bitstealing	4	20	get_miss	11.9
hybrid	bitstealing	4	20	delete	11.1
hybrid	bitstealing	4	24	insert	15.4
hybrid	bitstealing	4	24	get_hit	11.0
hybrid	bitstealing	4	24	get_miss	12.1
hybrid	bitstealing	4	24	delete	11.4
hybrid	bitstealing	4	28	insert	15.4
hybrid	bitstealing	4	28	get_hit	10.9
hybrid	bitstealing	4	28	get_miss	11.9
hybrid	bitstealing	4	28	delete	10.9
hybrid	bitstealing	4	32	insert	15.3
hybrid	bitstealing	4	32	get_hit	10.9
hybrid	bitstealing	4	32	get_miss	11.9
hybrid	bitstealing	4	32	delete	10.9
hybrid	bitstealing	4	36	insert	15.7
hybrid	bitstealing	4	36	get_hit	10.8
hybrid	bitstealing	4	36	get_miss	11.9
hybrid	bitstealing	4	36	delete	10.9
hybrid	bitstealing	4	40	insert	15.5
hybrid	bitstealing	4	40	get_hit	10.8
hybrid	bitstealing	4	40	get_miss	11.9
hybrid	bitstealing	4	40	delete	11.0
hybrid	bitstealing	4	40	churn_del	12.2
hybrid	bitstealing	4	40	churn_ins	19.2
hybrid	bitstealing	4	40	post_churn_hit	12.8
hybrid	bitstealing	8	16	insert	16.1
hybrid	bitstealing	8	16	get_hit	11.1
hybrid	bitstealing	8	16	get_miss	11.9
hybrid	bitstealing	8	16	delete	11.5
hybrid	bitstealing	8	20	insert	15.6
hybrid	bitstealing	8	20	get_hit	10.8
hybrid	bitstealing	8	20	get_miss	11.8
hybrid	bitstealing	8	20	delete	11.5
hybrid	bitstealing	8	24	insert	16.0
hybrid	bitstealing	8	24	get_hit	10.9
hybrid	bitstealing	8	24	get_miss	11.8
hybrid	bitstealing	8	24	delete	11.4
hybrid	bitstealing	8	28	insert	15.7
hybrid	bitstealing	8	28	get_hit	10.8
hybrid	bitstealing	8	28	get_miss	11.9
hybrid	bitstealing	8	28	delete	11.7
hybrid	bitstealing	8	32	insert	15.7
hybrid	bitstealing	8	32	get_hit	10.7
hybrid	bitstealing	8	32	get_miss	11.9
hybrid	bitstealing	8	32	delete	11.4
hybrid	bitstealing	8	36	insert	15.9
hybrid	bitstealing	8	36	get_hit	10.9
hybrid	bitstealing	8	36	get_miss	11.9
hybrid	bitstealing	8	36	delete	11.5
hybrid	bitstealing	8	40	insert	16.7
hybrid	bitstealing	8	40	get_hit	11.0
hybrid	bitstealing	8	40	get_miss	11.9
hybrid	bitstealing	8	40	delete	11.6
hybrid	bitstealing	8	32	churn_del	12.1
hybrid	bitstealing	8	32	churn_ins	19.3
hybrid	bitstealing	8	32	post_churn_hit	12.7
hybrid	bitstealing	16	16	insert	16.1
hybrid	bitstealing	16	16	get_hit	11.0
hybrid	bitstealing	16	16	get_miss	11.9
hybrid	bitstealing	16	16	delete	11.5
hybrid	bitstealing	16	20	insert	15.8
hybrid	bitstealing	16	20	get_hit	10.9
hybrid	bitstealing	16	20	get_miss	12.1
hybrid	bitstealing	16	20	delete	11.5
hybrid	bitstealing	16	24	insert	16.7
hybrid	bitstealing	16	24	get_hit	11.0
hybrid	bitstealing	16	24	get_miss	11.9
hybrid	bitstealing	16	24	delete	11.6
hybrid	bitstealing	16	28	insert	16.6
hybrid	bitstealing	16	28	get_hit	11.1
hybrid	bitstealing	16	28	get_miss	12.1
hybrid	bitstealing	16	28	delete	11.6
hybrid	bitstealing	16	32	insert	16.4
hybrid	bitstealing	16	32	get_hit	10.9
hybrid	bitstealing	16	32	get_miss	11.9
hybrid	bitstealing	16	32	delete	11.5
hybrid	bitstealing	16	36	insert	16.5
hybrid	bitstealing	16	36	get_hit	11.0
hybrid	bitstealing	16	36	get_miss	12.3
hybrid	bitstealing	16	36	delete	11.6
hybrid	bitstealing	16	40	insert	16.5
hybrid	bitstealing	16	40	get_hit	10.9
hybrid	bitstealing	16	40	get_miss	12.0
hybrid	bitstealing	16	40	delete	11.5
hybrid	bitstealing	16	20	churn_del	12.4
hybrid	bitstealing	16	20	churn_ins	19.6
hybrid	bitstealing	16	20	post_churn_hit	13.0
hybrid	bitstealing	32	16	insert	17.1
hybrid	bitstealing	32	16	get_hit	11.3
hybrid	bitstealing	32	16	get_miss	12.3
hybrid	bitstealing	32	16	delete	11.6
hybrid	bitstealing	32	20	insert	16.3
hybrid	bitstealing	32	20	get_hit	10.9
hybrid	bitstealing	32	20	get_miss	12.2
hybrid	bitstealing	32	20	delete	11.6
hybrid	bitstealing	32	24	insert	15.9
hybrid	bitstealing	32	24	get_hit	10.7
hybrid	bitstealing	32	24	get_miss	12.3
hybrid	bitstealing	32	24	delete	11.9
hybrid	bitstealing	32	28	insert	16.0
hybrid	bitstealing	32	28	get_hit	10.7
hybrid	bitstealing	32	28	get_miss	12.2
hybrid	bitstealing	32	28	delete	11.4
hybrid	bitstealing	32	32	insert	15.9
hybrid	bitstealing	32	32	get_hit	10.7
hybrid	bitstealing	32	32	get_miss	12.0
hybrid	bitstealing	32	32	delete	11.4
hybrid	bitstealing	32	36	insert	15.8
hybrid	bitstealing	32	36	get_hit	10.7
hybrid	bitstealing	32	36	get_miss	12.0
hybrid	bitstealing	32	36	delete	11.4
hybrid	bitstealing	32	40	insert	15.8
hybrid	bitstealing	32	40	get_hit	10.8
hybrid	bitstealing	32	40	get_miss	12.0
hybrid	bitstealing	32	40	delete	11.4
hybrid	bitstealing	32	32	churn_del	12.0
hybrid	bitstealing	32	32	churn_ins	19.4
hybrid	bitstealing	32	32	post_churn_hit	12.7
